Ticker,Company,n_positions,avg_trade,total_pnl,worst_trade,best_trade,win_rate,avg_si
NVX,Novonix Limited,6,0.05679242485391952,0.0056061950037022325,-0.12676061422336438,0.22018348824525358,0.8333333333333334,4.896666666666667
RFG,Retail Food Group,4,0.07920446955218025,0.005543853390383386,-0.08163265471621939,0.26936025071037895,0.75,0.4575
AX1,Accent Group Ltd,1,0.3161853189884474,0.005451471017042196,0.3161853189884474,0.3161853189884474,1.0,4.01
MCP,Mcpherson'S Ltd,5,0.05927366954924622,0.005112498323080802,-0.05882359128509962,0.1372548905027593,0.8,0.022
GEM,G8 Education Limited,2,0.14561169090333898,0.005014657044002704,-0.02127657550770312,0.31249995731438107,0.5,3.255
NAN,Nanosonics Limited,4,0.07368414507160193,0.004975960724647151,-0.0,0.11081083258022062,0.75,7.8175
LVT,Livetiles Limited,5,0.0603030230072424,0.004965639412142374,-0.18181821260570508,0.3999999813735481,0.4,0.12
EBO,Ebos Group Ltd,5,0.05456021801057844,0.004743029987539678,0.01567229285707783,0.09411770307665324,1.0,0.44400000000000006
CXO,Core Exploration Ltd,12,0.022626673509186717,0.004652549257846791,-0.18918916741977942,0.2846153414108328,0.3333333333333333,6.283333333333334
IEL,Idp Education Ltd,1,0.2614897538893819,0.00458753954191898,0.2614897538893819,0.2614897538893819,1.0,11.57
GNC,Graincorp Limited A Class,1,0.2562499753199522,0.004418103022757796,0.2562499753199522,0.2562499753199522,1.0,3.76
TLG,Talga Resources,22,0.01252996857827159,0.004364427536935148,-0.48214282103034933,0.2866242246176286,0.6363636363636364,1.9186363636363637
VUL,Vulcan Energy,32,0.007934566564592502,0.004353678815556488,-0.6656249513383963,0.25280028465690363,0.5625,4.65625
IMM,Immutep Ltd,7,0.03654118156408522,0.004275642726838391,-0.4583333268658154,0.8753246711526517,0.7142857142857143,1.8914285714285715
CST,Castile Resources,14,0.018436416348344555,0.004260346745307023,-0.1967212804396674,0.23749997438862858,0.5714285714285714,0.002857142857142857
EDE,Eden Energy Limited,5,0.050000000000000024,0.004192522614306446,-0.33333333333333326,0.33333333333333337,0.4,0.0
S2R,S2 Resources,5,0.050592483488487015,0.004110436415932585,-0.14925369648870834,0.36000001430511475,0.6,0.0
REH,Reece Australia Ltd.,10,0.024820095349437264,0.0040419071801652,-0.06743294867390826,0.27824263056238707,0.6,2.732
ABB,Aussie Broadband,4,0.0577991323759037,0.0038429961598846546,-0.005076060329617826,0.11849714454990534,0.75,1.935
BCI,Bc Iron Limited,3,0.07582042997587395,0.003802551540497595,0.02127657550770312,0.16536836678812072,1.0,0.0
BXB,Brambles Limited,4,0.05344040762686375,0.003652347892299571,-0.11964286254094447,0.22297909833516705,0.75,0.395
CCP,Credit Corp Group,6,0.036599034651777364,0.0036232313102661845,-0.07786181421150307,0.153245119258262,0.6666666666666666,2.2916666666666665
TOE,Toro Energy Limited,13,0.015925422341001052,0.0035139984642089317,-0.4222222281091008,0.1666666356225801,0.6153846153846154,0.43076923076923074
ING,Inghams Group,4,0.050343422745119576,0.003509107351940065,-0.053191502178454586,0.17600002180504715,0.75,7.42
GRR,Grange Resources.,3,0.06901491539602218,0.0034279770879465246,-0.0,0.12371137060028603,0.6666666666666666,0.47
STX,Strike Energy Ltd,5,0.03946488215975792,0.003389439495535998,-0.045454570084564105,0.1538461273943874,0.6,4.358
ASG,Autosports Grp Ltd.,10,0.01854803301465303,0.003227942878571267,-0.2704917834234444,0.2317460582532258,0.6,0.066
SHL,Sonic Healthcare,4,0.043710993973510054,0.003007351595623804,-0.03834414366680283,0.11748539914100542,0.75,4.3625
TER,Terracom Ltd,10,0.015626286560221737,0.002733920484134067,-0.5151515459390383,0.28541376672077334,0.6,0.335
CTM,Centaurus Metals Ltd,8,0.01954818226575887,0.002678302663418619,-0.29999990065892934,0.4392523416546984,0.5,0.1875
MYX,Mayne Pharma Ltd,9,0.016937565347814862,0.0026631327103495096,-0.19573648425365375,0.15633420963406408,0.6666666666666666,1.788888888888889
MAQ,Macquarie Telecom Gp,10,0.016500917450064177,0.0026590236734206282,-0.1013794026882553,0.18493154942929557,0.4,1.735
S32,South32 Limited,6,0.025894809861883195,0.002575088640739233,-0.14243322730789254,0.185792359903853,0.5,1.4416666666666667
MGX,Mount Gibson Iron,5,0.029960165830632147,0.0024727042223866894,-0.06557370641801308,0.1369863304507548,0.6,0.776
ACR,Acrux Limited,1,0.14705889442593612,0.002450981573765602,0.14705889442593612,0.14705889442593612,1.0,0.0
NEC,Northern Energy Corp,4,0.03532434201830395,0.0024481741374276465,-0.038888919059141935,0.10693123838010588,0.5,2.8474999999999997
SBM,St Barbara Limited,13,0.009945905040751768,0.0024228814129941545,-0.5142856583303326,0.31325300685690416,0.46153846153846156,1.0146153846153845
SOL,Soul Pattinson (W.H),6,0.02347590216158459,0.002411033609798203,-0.04705563403574886,0.11608767748218096,0.6666666666666666,2.065
LOV,Lovisa Holdings Ltd,13,0.009888557516131739,0.002378948915423568,-0.11424961769738795,0.22781541313632814,0.46153846153846156,2.9376923076923074
EXR,Elixir Petroleum Ltd,13,0.010883551055930477,0.0023184837172679383,-0.43076931717833444,0.2727272342428686,0.5384615384615384,0.05846153846153846
WGX,Westgold Resources.,10,0.013411359989830974,0.0022926099242760517,-0.16334668488409188,0.17938927216147915,0.6,4.554
NHC,New Hope Corporation,2,0.05748253512607254,0.001971797854704875,0.03544688607647806,0.07951818417566703,1.0,3.5949999999999998
OFX,Ozforex Group Ltd,6,0.019562101133003957,0.0019427642833456408,-0.3200000524520874,0.20491802798135095,0.8333333333333334,0.36833333333333335
BBN,Baby Bunting Grp Ltd,20,0.004265394889099633,0.0018670564015778306,-0.2920321330798432,0.25,0.5,1.7149999999999999
IRI,Integrated Research,3,0.03597430287015687,0.0018618462800523423,-0.11688318225607719,0.16666657694530707,0.6666666666666666,0.02666666666666667
WTC,Wisetech Global Ltd,4,0.026955154996348207,0.0017412031489920676,-0.15472275882714692,0.16802133197407232,0.75,1.9749999999999999
SIG,Sigma Health Ltd,10,0.009116510447945559,0.001580722189698311,-0.04152231693513708,0.07395486597055678,0.5,2.459
PAC,Pacific Grp Ltd,3,0.030258125926216756,0.001565075478942246,-0.011673099080631077,0.09090906678270705,0.6666666666666666,0.05000000000000001
CIA,Champion Iron Ltd,4,0.022437511457920306,0.001495896346324571,-0.02094234452015864,0.04051559214862854,0.75,5.5575
BPT,Beach Energy Limited,3,0.02689651076212074,0.0013529561947183979,-0.05660373623866821,0.11044773548760356,0.6666666666666666,3.106666666666667
PBH,Pointsbet Holdings,2,0.04095757283466267,0.0013428712404807432,0.023255901635817477,0.05865924403350786,1.0,2.125
CUV,Clinuvel Pharmaceut.,12,0.0061854574420161694,0.001173334048645331,-0.16139573383254957,0.26981942864136643,0.5833333333333334,4.983333333333333
HZN,Horizon Oil Limited,4,0.017550219776261033,0.0011704777055107632,-0.08108089635481419,0.05128185128113705,0.75,0.015
FWD,Fleetwood Corp,5,0.013775705653381353,0.0011699601553127922,-0.10000008993865284,0.15000002613841967,0.4,0.42800000000000005
GWA,Gwa Group Ltd,3,0.022995269328625462,0.0011515818076395683,-0.012500051717443839,0.04429573243927054,0.6666666666666666,1.4900000000000002
CTD,Corp Travel Limited,1,0.06624823763571785,0.0011041372939286308,0.06624823763571785,0.06624823763571785,1.0,7.7
DRR,Deterra,1,0.06500000161847752,0.0010833333603079587,0.06500000161847752,0.06500000161847752,1.0,1.53
RRL,Regis Resources,1,0.056451649580749,0.0009408608263458166,0.056451649580749,0.056451649580749,1.0,2.75
VEA,Viva Energy Group,2,0.024462361905854768,0.0008583284879247286,0.01666669030736212,0.032258033504347416,1.0,1.66
WHC,Whitehaven Coal,2,0.022402665552797185,0.000844126197612236,-0.06619724316606179,0.11100257427165616,0.5,2.175
NVA,Nova Minerals Ltd,4,0.011134898828470768,0.0007804928231546398,-0.16949157336771403,0.2428571708348337,0.5,0.29000000000000004
MVF,Monash Ivf Group Ltd,9,0.004933473802576459,0.00077437872589173,-0.17518243131429578,0.13664596694688602,0.6666666666666666,2.427777777777778
AFG,Aust Finance Grp,11,0.0037014649759564496,0.0007073526266626268,-0.08090608155426726,0.09036138133587213,0.45454545454545453,1.0736363636363637
JMS,Jupiter Mines,9,0.0045780268662546485,0.0007047691225074773,-0.27586211752725864,0.1904762663669649,0.5555555555555556,0.1522222222222222
OCC,Orthocell Limited,22,0.0014264326837357172,0.0006539983611526618,-0.22727268211769514,0.21052630588288435,0.5,0.21181818181818182
HDN,Homeco Daily Needs Units,1,0.032786749029932394,0.0005557076106768202,0.032786749029932394,0.032786749029932394,1.0,0.87
