Ticker,Company,mktCap,ShortPct,score_naive,score_ew,score_logit,score_gbm_cls,score_gbm_rank,consensus_rk,SI,SI z,mom,vol,P/E,FCF-y,ROE,D/E,growth
NEC,NINE ENTERTAINMENT ORDINARY,1758312150.0,4.12,0.8,0.7965517241379311,0.5757345059885199,0.42062772515781527,-1.4365331441477227,0.7772058823529412,0.8,0.7896551724137931,0.40689655172413797,0.19655172413793104,0.5,0.9137931034482758,0.7310344827586207,0.4586206896551724,0.9103448275862069
TYR,TYRO PAYMENTS ORDINARY,525301912.0,5.7,0.8655172413793103,0.6896551724137931,0.5591968471622524,0.4118670945841435,-1.147340266480178,0.7720588235294118,0.8655172413793103,0.9413793103448276,0.25172413793103443,0.6172413793103448,0.325,0.9344827586206896,0.2827586206896552,0.3689655172413793,0.29655172413793107
MSB,MESOBLAST LIMITED ORDINARY,1897736359.0,8.66,0.9344827586206896,0.9413793103448276,0.6252490922025136,0.26243558155743846,-0.7878202982521081,0.7705882352941176,0.9344827586206896,0.7689655172413793,0.5758620689655172,0.5620689655172414,0.5,0.7344827586206897,0.8103448275862069,0.3758620689655172,0.6396551724137931
BAP,BAPCOR LIMITED ORDINARY,702583875.0,9.41,0.9551724137931035,0.9448275862068966,0.6628723614734057,0.2864408040316868,-1.1789806170334005,0.7705882352941176,0.9551724137931035,0.7103448275862069,0.9586206896551724,0.9758620689655172,0.5,0.16896551724137931,0.903448275862069,0.7896551724137931,0.5689655172413793
TWE,TREASURY WINE ESTATE ORDINARY,4243739760.0,13.07,0.9862068965517241,0.9103448275862069,0.522070497186552,0.39201334336413024,-1.4067119945430158,0.7625,0.9862068965517241,0.6586206896551724,0.44482758620689655,0.5103448275862069,0.5,0.5275862068965518,0.9103448275862069,0.6448275862068965,0.8379310344827586
PDI,PREDICTIVE DISC LTD ORDINARY,1930328692.0,1.13,0.46206896551724136,0.9551724137931035,0.5236227109407054,0.45359935821775227,-0.3414525168881528,0.7536764705882353,0.46206896551724136,0.5862068965517241,0.7862068965517242,0.9413793103448276,0.5,0.7241379310344828,0.8310344827586207,0.07241379310344828,0.6396551724137931
WBT,WEEBIT NANO LTD ORDINARY,1064905887.0,0.32,0.24655172413793103,0.9,0.5700491708083423,0.44826164908112304,-0.06411777445643634,0.7503676470588234,0.24655172413793103,0.017241379310344827,0.020689655172413834,0.996551724137931,0.5,0.7103448275862069,0.9620689655172414,0.10344827586206896,0.09310344827586203
NAN,NANOSONICS LIMITED ORDINARY,1206156066.0,8.37,0.9275862068965517,0.7586206896551724,0.5543495910311068,0.379353411867339,-1.384498481147254,0.748529411764706,0.9275862068965517,0.3586206896551724,0.6103448275862069,0.3482758620689655,0.885,0.603448275862069,0.45517241379310347,0.21379310344827587,0.7482758620689656
BBN,BABY BUNTING GRP LTD ORDINARY,346625858.0,0.32,0.24655172413793103,0.8310344827586207,0.6323772932639993,0.4165136905910934,0.2688557977677991,0.7481617647058824,0.24655172413793103,0.5689655172413793,0.8034482758620689,0.9344827586206896,0.935,0.6689655172413793,0.6137931034482759,0.903448275862069,0.5620689655172414
CXL,CALIX LIMITED ORDINARY,210983751.0,0.36,0.2655172413793103,0.8689655172413793,0.5837336503968289,0.4557016476534929,-0.6281846147832898,0.7470588235294119,0.2655172413793103,0.05517241379310345,0.9448275862068966,0.7034482758620689,0.5,0.8793103448275862,0.9862068965517241,0.27586206896551724,0.303448275862069
