feature,mean_abs_shap
log_mktcap_rk,0.003027894481200049
enterpriseValue_rk,0.003022863014275026
key_metrics_averagePayables_rk,0.0029643052086800736
ratios_freeCashFlowOperatingCashFlowRatio_rk,0.0029597208872888525
cash_flow_netCashProvidedByOperatingActivities_rk,0.002957271000587182
treasuryStock_rk,0.0029374407482168343
changeInWorkingCapital_rk,0.0027995345109888626
balance_sheet_accountPayables_rk,0.002796664155408407
ratios_revenuePerShare_rk,0.002774088158047738
taxPayables_rk,0.002720327900691731
operatingCashFlowCoverageRatio_rk,0.0027146948618377627
ratios_debtToCapitalRatio_rk,0.0026599702078215575
totalInvestments_rk,0.0026559207960654514
otherInvestingActivities_rk,0.00262648255961171
key_metrics_capexToOperatingCashFlow_rk,0.0025860438451392608
ebtPerEbit_rk,0.0025548927583968844
otherNonCurrentAssets_rk,0.002523964248719263
ratios_shareholdersEquityPerShare_rk,0.002510744063058842
otherReceivables_rk,0.0024903183992727694
cash_flow_netIncome_rk,0.0024733923304431763
minusCashAndCashEquivalents_rk,0.0024504914037555984
researchAndDevelopmentExpenses_rk,0.002433823714234643
balance_sheet_totalEquity_rk,0.0024125927219536534
incomeTaxesPaid_rk,0.0024081973202632126
key_metrics_marketCap_rk,0.0023557436764420603
balance_sheet_propertyPlantEquipmentNet_rk,0.0022881327840865904
researchAndDevelopementToRevenue_rk,0.0022536630228188665
debtGrowth_rk,0.0022368232747360627
operatingCashFlowGrowth_rk,0.0022306169434503447
otherCurrentAssets_rk,0.00221733844311117
otherFinancingActivities_rk,0.0021760139471314966
cash_flow_operatingCashFlow_rk,0.002153564780789657
balance_sheet_totalAssets_rk,0.002149529791025069
evToFreeCashFlow_rk,0.0021434673693133963
daysOfPayablesOutstanding_rk,0.002140446237106545
key_metrics_taxBurden_rk,0.0021342234820750337
threeYOperatingCFGrowthPerShare_rk,0.0021286440454167917
netStockIssuance_rk,0.002121786563036303
intangiblesToTotalAssets_rk,0.0021204025453919325
stockBasedCompensation_rk,0.0021111588402588886
workingCapital_rk,0.002059898773966175
sgaexpensesGrowth_rk,0.0020588049681350066
income_statement_netIncome_rk,0.0020520417855082206
income_statement_bottomLineNetIncome_rk,0.00204594616187129
tenYShareholdersEquityGrowthPerShare_rk,0.002032748328018844
cash_flow_investmentsInPropertyPlantAndEquipment_rk,0.0020263061861851305
sellingGeneralAndAdministrativeExpenses_rk,0.001980570257051472
capexToDepreciation_rk,0.0019650848080000794
ebitdaMargin_rk,0.0019385602193382914
nonOperatingIncomeExcludingInterest_rk,0.0019361703994456526
netChangeInCash_rk,0.0018734705893350024
interestCoverageRatio_rk,0.0018343085234006971
stockBasedCompensationToRevenue_rk,0.0018256451878042156
tenYDividendperShareGrowthPerShare_rk,0.0018046449211571271
purchasesOfInvestments_rk,0.0017958984199563227
salesGeneralAndAdministrativeToRevenue_rk,0.0017914562661771646
operatingIncomeGrowth_rk,0.0017866731435836189
weightedAverageShsOutDil_rk,0.0017733388560975606
otherTotalStockholdersEquity_rk,0.0017683039728198706
priceToOperatingCashFlowRatio_rk,0.0017670250601353383
fiveYShareholdersEquityGrowthPerShare_rk,0.0017599434269950347
debtServiceCoverageRatio_rk,0.001756129520208747
tangibleBookValuePerShare_rk,0.0017479948590948325
weightedAverageSharesGrowth_rk,0.0017457200187420687
effectOfForexChangesOnCash_rk,0.0017456442231390738
threeYNetIncomeGrowthPerShare_rk,0.0017362121303281985
fiveYOperatingCFGrowthPerShare_rk,0.0017189945619383537
threeYDividendperShareGrowthPerShare_rk,0.0016869799137097278
commonStockIssuance_rk,0.001680883803098173
enterprise_values_marketCapitalization_rk,0.0016718945111436536
otherNonCurrentLiabilities_rk,0.0016423020180529114
grossProfitGrowth_rk,0.0016415784696027225
ebitgrowth_rk,0.0016159424066236826
ebitdaGrowth_rk,0.0016058780866692929
fiveYNetIncomeGrowthPerShare_rk,0.0015734070870626318
deferredRevenue_rk,0.0015516502863843705
longTermDebtToCapitalRatio_rk,0.0015499915802708246
intangibleAssets_rk,0.0015492159121356908
grahamNetNet_rk,0.0015476975356281217
netInterestIncome_rk,0.001542958794082026
generalAndAdministrativeExpenses_rk,0.001539087659267214
key_metrics_currentRatio_rk,0.001516737160642112
incomeQuality_rk,0.0015014001645512352
minorityInterest_rk,0.0014968988508578629
income_statement_incomeBeforeTax_rk,0.001468962333800424
otherPayables_rk,0.0014664468825002373
netCashProvidedByFinancingActivities_rk,0.0014501481750033819
inventory_rk,0.0014359961435508985
priceToSalesRatio_rk,0.0014358372127119918
ratios_dividendYieldPercentage_rk,0.001383372205778429
growthCapitalExpenditure_rk,0.0013808177950466161
capitalLeaseObligationsNonCurrent_rk,0.0013523983775648371
netCommonStockIssuance_rk,0.0013470321122680273
operatingCashFlowRatio_rk,0.0013339645037675598
incomeTaxExpense_rk,0.0013282612558254026
cashPerShare_rk,0.0013242183571354738
capexPerShare_rk,0.0013088375662073453
deferredTaxLiabilitiesNonCurrent_rk,0.001295188342997721
workingCapitalTurnoverRatio_rk,0.0012715420824041485
dividendPayoutRatio_rk,0.0012698023821000617
assetTurnover_rk,0.00126816313030707
dividendsPerShareGrowth_rk,0.0012670962782972489
revenueGrowth_rk,0.0012559192068844287
returnOnTangibleAssets_rk,0.0012523323301606398
receivablesGrowth_rk,0.0012435167231912233
cash_flow_capitalExpenditure_rk,0.0012388267837467328
acquisitionsNet_rk,0.0012314552856303443
otherNonCashItems_rk,0.0012150365701530015
totalPayables_rk,0.0012055552152749705
cashAtBeginningOfPeriod_rk,0.0011882472103780426
costOfRevenue_rk,0.0011821621424497558
investedCapital_rk,0.001155287362567993
shortTermDebt_rk,0.0011446760222631827
netDebtIssuance_rk,0.001137293947373537
deferredRevenueNonCurrent_rk,0.0011345859642875019
threeYShareholdersEquityGrowthPerShare_rk,0.0011286827472398225
epsdilutedGrowth_rk,0.0011274115183181408
commonStock_rk,0.0011118892159626013
weightedAverageSharesDilutedGrowth_rk,0.0011063701443658365
quickRatio_rk,0.0010905869216877387
tenYBottomLineNetIncomeGrowthPerShare_rk,0.0010861688524660008
investmentsInPropertyPlantAndEquipment_rk,0.0010821189986289182
tenYOperatingCFGrowthPerShare_rk,0.0010717154453246222
payablesTurnover_rk,0.0010591514447920373
debtToAssetsRatio_rk,0.001050957155417551
bookValueperShareGrowth_rk,0.0010506546366792712
financialLeverageRatio_rk,0.001044849009679362
weightedAverageShsOut_rk,0.0010441549891354975
