feature,gain,split
key_metrics_evToEBITDA_rk,46.471189975738525,7.0
income_statement_costAndExpenses_rk,46.2920708656311,11.0
shortTermInvestments_rk,45.83635926246643,6.0
threeYDividendperShareGrowthPerShare_rk,44.41124987602234,8.0
balance_sheet_totalCurrentLiabilities_rk,44.34511065483093,9.0
preferredStock_rk,44.06417942047119,6.0
threeYBottomLineNetIncomeGrowthPerShare_rk,43.245299339294434,5.0
revenueGrowth_rk,43.20653033256531,5.0
fiveYRevenueGrowthPerShare_rk,43.16554021835327,7.0
operatingIncome_rk,43.14481973648071,7.0
otherReceivables_rk,42.77955961227417,6.0
balance_sheet_totalCurrentAssets_rk,41.756020069122314,7.0
returnOnEquity_rk,40.828919529914856,8.0
generalAndAdministrativeExpenses_rk,39.90198993682861,7.0
cash_flow_operatingCashFlow_rk,39.78490972518921,8.0
accountsPayables_rk,39.73981022834778,7.0
nonOperatingIncomeExcludingInterest_rk,39.64145016670227,6.0
taxAssets_rk,37.44087886810303,3.0
net_debt_to_ebitda_rk,36.723419427871704,8.0
epsdilutedGrowth_rk,35.86089015007019,5.0
totalNonCurrentLiabilities_rk,35.68815040588379,6.0
deferredRevenueNonCurrent_rk,35.66771984100342,5.0
stockBasedCompensation_rk,35.64883089065552,7.0
tenYBottomLineNetIncomeGrowthPerShare_rk,34.797539949417114,5.0
otherPayables_rk,34.644320011138916,6.0
operatingCashFlowRatio_rk,33.947360038757324,7.0
accountsReceivables_rk,33.8136100769043,4.0
freeCashFlowYield_rk,33.706939697265625,6.0
interestPaid_rk,33.613619327545166,2.0
longTermNetDebtIssuance_rk,33.5864794254303,7.0
ratios_debtToCapitalRatio_rk,32.978310108184814,7.0
fiveYShareholdersEquityGrowthPerShare_rk,32.592560052871704,6.0
otherNonCurrentLiabilities_rk,31.97181010246277,5.0
receivablesTurnover_rk,31.877249479293823,4.0
tenYShareholdersEquityGrowthPerShare_rk,31.837079763412476,5.0
otherAdjustmentsToNetIncome_rk,31.77016019821167,5.0
goodwillAndIntangibleAssets_rk,31.759429693222046,4.0
dividendPayoutRatio_rk,31.056100368499756,5.0
deferredTaxLiabilitiesNonCurrent_rk,30.690880298614502,5.0
salesMaturitiesOfInvestments_rk,29.860960006713867,5.0
otherNonCashItems_rk,29.72435998916626,7.0
fiveYDividendperShareGrowthPerShare_rk,29.33922028541565,6.0
otherNonCurrentAssets_rk,29.280420064926147,6.0
operatingExpenses_rk,29.204729795455933,6.0
balance_sheet_totalLiabilitiesAndTotalEquity_rk,29.15539002418518,6.0
threeYRevenueGrowthPerShare_rk,28.834399938583374,7.0
operatingCashFlowCoverageRatio_rk,28.72379994392395,5.0
taxPayables_rk,28.295938968658447,5.0
bookValueperShareGrowth_rk,27.88468027114868,4.0
financialLeverageRatio_rk,27.543880224227905,5.0
incomeTaxExpense_rk,27.543579578399658,3.0
workingCapitalTurnoverRatio_rk,27.542239665985107,6.0
incomeTaxesPaid_rk,27.399150371551514,5.0
ratios_dividendYieldPercentage_rk,26.62574005126953,4.0
balance_sheet_totalLiabilities_rk,26.375929832458496,6.0
priceToEarningsRatio_rk,26.268369913101196,6.0
deferredRevenue_rk,26.21083974838257,5.0
income_statement_incomeTaxExpense_rk,26.056699514389038,4.0
netCashProvidedByInvestingActivities_rk,25.76653027534485,3.0
acquisitionsNet_rk,25.3810396194458,5.0
debtServiceCoverageRatio_rk,25.313629627227783,3.0
otherInvestingActivities_rk,24.773239850997925,5.0
freeCashFlowOperatingCashFlowRatio_rk,24.62295961380005,4.0
growthCapitalExpenditure_rk,24.488460063934326,4.0
balance_sheet_totalNonCurrentAssets_rk,24.40731978416443,4.0
income_statement_incomeBeforeTax_rk,24.400969982147217,5.0
otherWorkingCapital_rk,23.96106994152069,4.0
purchasesOfInvestments_rk,23.93538987636566,5.0
effectOfForexChangesOnCash_rk,23.660419940948486,5.0
sellingAndMarketingExpenses_rk,23.645400047302246,4.0
dividendPerShare_rk,23.639370441436768,4.0
inventoryGrowth_rk,23.244900226593018,5.0
netIncomeDeductions_rk,22.958540201187134,3.0
threeYShareholdersEquityGrowthPerShare_rk,22.868549346923828,6.0
grahamNetNet_rk,22.481149673461914,5.0
key_metrics_taxBurden_rk,22.295260429382324,3.0
daysOfPayablesOutstanding_rk,22.272200107574463,4.0
cashAndCashEquivalents_rk,22.203189611434937,4.0
priceToOperatingCashFlowRatio_rk,22.182049870491028,6.0
fiveYNetIncomeGrowthPerShare_rk,21.568490266799927,5.0
revenuePerShare_rk,21.340450525283813,4.0
threeYOperatingCFGrowthPerShare_rk,20.995620012283325,5.0
shortTermDebt_rk,20.39020013809204,3.0
balance_sheet_capitalLeaseObligations_rk,20.33939027786255,4.0
netIncomePerShare_rk,20.23076033592224,4.0
interestCoverageRatio_rk,19.740190029144287,3.0
operatingIncomeGrowth_rk,19.702630281448364,4.0
dividendPaidAndCapexCoverageRatio_rk,19.66542959213257,2.0
otherExpenses_rk,19.581120014190674,4.0
commonStockIssuance_rk,19.56186032295227,4.0
tangibleAssetValue_rk,19.529900550842285,2.0
fiveYOperatingCFGrowthPerShare_rk,19.47432041168213,4.0
weightedAverageSharesDilutedGrowth_rk,19.31078028678894,7.0
stockBasedCompensationToRevenue_rk,19.221829652786255,4.0
grahamNumber_rk,18.831250429153442,3.0
totalInvestments_rk,18.138399600982666,4.0
tenYDividendperShareGrowthPerShare_rk,18.011040449142456,3.0
otherFinancingActivities_rk,17.959579944610596,4.0
freeCashFlowGrowth_rk,17.80757999420166,2.0
operatingProfitMargin_rk,17.787060022354126,3.0
otherCurrentLiabilities_rk,17.67317008972168,3.0
daysOfSalesOutstanding_rk,17.330770015716553,4.0
priceToFreeCashFlowRatio_rk,17.094929933547974,4.0
capexToDepreciation_rk,16.85722017288208,4.0
effectiveTaxRate_rk,16.714709997177124,4.0
salesGeneralAndAdministrativeToRevenue_rk,16.5168297290802,4.0
capitalExpenditureCoverageRatio_rk,16.43132972717285,3.0
totalOtherIncomeExpensesNet_rk,16.402899742126465,5.0
ratios_priceToFairValue_rk,16.157040119171143,3.0
ebitgrowth_rk,16.008619785308838,4.0
otherAssets_rk,15.945370197296143,3.0
evToFreeCashFlow_rk,15.8224196434021,3.0
retainedEarnings_rk,15.73173999786377,2.0
accumulatedOtherComprehensiveIncomeLoss_rk,15.630580425262451,2.0
treasuryStock_rk,15.145079851150513,3.0
weightedAverageSharesGrowth_rk,15.127990245819092,3.0
accountPayables_rk,15.075210332870483,3.0
longTermDebtToCapitalRatio_rk,14.937070369720459,2.0
ebitdaMargin_rk,14.861829996109009,3.0
longTermDebt_rk,14.33240032196045,1.0
tenYRevenueGrowthPerShare_rk,14.030340194702148,2.0
netDebtIssuance_rk,13.751919984817505,3.0
epsgrowth_rk,13.626110076904297,2.0
receivablesGrowth_rk,13.305890083312988,2.0
netDebtToEBITDA_rk,13.067809581756592,4.0
intangiblesToTotalAssets_rk,12.89411997795105,3.0
weightedAverageShsOut_rk,12.865570068359375,3.0
assetGrowth_rk,12.845029592514038,3.0
freeCashFlowToFirm_rk,12.643840312957764,2.0
assetTurnover_rk,12.514830112457275,3.0
netInterestIncome_rk,12.423199653625488,2.0
payablesTurnover_rk,12.354000091552734,1.0
incomeQuality_rk,12.288180112838745,2.0
netCashProvidedByFinancingActivities_rk,11.757399559020996,1.0
depreciationAndAmortization_rk,11.716960430145264,2.0
commonDividendsPaid_rk,11.680590152740479,2.0
fiveYBottomLineNetIncomeGrowthPerShare_rk,11.619590044021606,2.0
averagePayables_rk,11.565670013427734,2.0
ratios_forwardPriceToEarningsGrowthRatio_rk,11.429330110549927,2.0
ebitdaGrowth_rk,11.425050020217896,3.0
netCurrentAssetValue_rk,11.398759841918945,3.0
operatingCashFlowSalesRatio_rk,11.395230054855347,3.0
tangibleBookValuePerShare_rk,11.385280132293701,2.0
propertyPlantEquipmentNet_rk,11.242839813232422,2.0
tenYNetIncomeGrowthPerShare_rk,11.21006989479065,2.0
cash_flow_netCashProvidedByOperatingActivities_rk,11.047449588775635,3.0
interestIncome_rk,11.016540288925171,2.0
cashConversionCycle_rk,10.986470222473145,2.0
totalLiabilities_rk,10.934200286865234,1.0
debtGrowth_rk,10.873630404472351,2.0
operatingCycle_rk,10.806869983673096,2.0
sgaexpensesGrowth_rk,10.665529727935791,3.0
freeCashFlow_rk,10.638459920883179,2.0
prepaids_rk,10.39627981185913,2.0
quickRatio_rk,10.249049663543701,2.0
debtToEquityRatio_rk,10.141309976577759,2.0
deferredIncomeTax_rk,10.125160217285156,2.0
grossProfitMargin_rk,10.07768988609314,2.0
returnOnTangibleAssets_rk,10.028279781341553,2.0
capitalLeaseObligationsNonCurrent_rk,9.937870025634766,1.0
earningsYield_rk,9.720210075378418,1.0
investedCapital_rk,9.600670099258423,2.0
returnOnCapitalEmployed_rk,9.519330024719238,3.0
continuousOperationsProfitMargin_rk,9.399900078773499,3.0
operatingReturnOnAssets_rk,9.150129795074463,3.0
capexToRevenue_rk,9.120809555053711,1.0
priceToEarningsGrowthRatio_rk,9.087730407714844,1.0
commonStockRepurchased_rk,9.02804970741272,2.0
goodwill_rk,8.763239860534668,2.0
operatingCashFlowPerShare_rk,8.522319793701172,2.0
shortTermOperatingCashFlowCoverageRatio_rk,8.497270107269287,2.0
researchAndDevelopementToRevenue_rk,8.44682002067566,2.0
eps_rk,8.290930032730103,2.0
dividendsPerShareGrowth_rk,8.249380111694336,2.0
operatingCashFlowGrowth_rk,8.196840286254883,2.0
evToOperatingCashFlow_rk,8.128640174865723,2.0
cashAtBeginningOfPeriod_rk,8.07354998588562,2.0
cashRatio_rk,7.988480091094971,1.0
returnOnAssets_rk,7.585279941558838,1.0
fixedAssetTurnover_rk,7.4476799964904785,2.0
operatingCashFlow_rk,7.433690071105957,1.0
netCashProvidedByOperatingActivities_rk,7.422019958496094,2.0
otherCurrentAssets_rk,7.401889801025391,2.0
priceToSalesRatio_rk,7.264139890670776,2.0
tenYOperatingCFGrowthPerShare_rk,6.954880237579346,1.0
capitalLeaseObligations_rk,6.77023983001709,1.0
ebitMargin_rk,6.545820236206055,1.0
bottomLineProfitMargin_rk,6.505420207977295,1.0
revenue_rk,6.432079792022705,1.0
netDebt_rk,6.294879913330078,1.0
totalCurrentAssets_rk,6.275710105895996,1.0
cashAtEndOfPeriod_rk,6.267139911651611,1.0
interestBurden_rk,6.183650016784668,1.0
netReceivables_rk,6.180890083312988,1.0
costOfRevenue_rk,6.149680137634277,2.0
