Date,Ticker,model,bucket,period,score,stock_return,short_return
2014-06-27,COH,naive,quintile,IS,1.0,0.016242192440331094,-0.016242192440331094
2014-06-27,DOW,naive,quintile,IS,0.8528428093645485,0.039911347593192925,-0.039911347593192925
2014-06-27,ELD,naive,quintile,IS,0.8461538461538461,0.2162162597892301,-0.2162162597892301
2014-06-27,FLT,naive,quintile,IS,0.8996655518394648,0.05215789393132475,-0.05215789393132475
2014-06-27,FMG,naive,quintile,IS,0.9331103678929766,0.0065934323700311825,-0.0065934323700311825
2014-06-27,GNC,naive,quintile,IS,0.8762541806020067,0.06986319066270164,-0.06986319066270164
2014-06-27,GWA,naive,quintile,IS,0.903010033444816,0.018726567455342735,-0.018726567455342735
2014-06-27,HVN,naive,quintile,IS,0.9063545150501672,-0.012820642494782875,0.012820642494782875
2014-06-27,HZN,naive,quintile,IS,0.8846153846153846,0.05633830291328823,-0.05633830291328823
2014-06-27,ILU,naive,quintile,IS,0.9632107023411371,0.07055972880495176,-0.07055972880495176
2014-06-27,JBH,naive,quintile,IS,0.9933110367892977,0.06997231656988423,-0.06997231656988423
2014-06-27,KAR,naive,quintile,IS,0.8896321070234113,0.12540185049678887,-0.12540185049678887
2014-06-27,KCN,naive,quintile,IS,0.8311036789297659,0.016853921491932766,-0.016853921491932766
2014-06-27,LYC,naive,quintile,IS,0.8929765886287625,0.3214281767860412,-0.3214281767860412
2014-06-27,MIN,naive,quintile,IS,0.9297658862876255,0.12164983079633451,-0.12164983079633451
2014-06-27,MND,naive,quintile,IS,0.9899665551839465,-0.01001841209523302,0.01001841209523302
2014-06-27,MSB,naive,quintile,IS,0.9381270903010034,-0.11111108036726891,0.11111108036726891
2014-06-27,MTS,naive,quintile,IS,0.9832775919732442,0.03717451980869746,-0.03717451980869746
2014-06-27,MYR,naive,quintile,IS,0.9698996655518395,0.046728699951036345,-0.046728699951036345
2014-06-27,NUF,naive,quintile,IS,0.9163879598662207,-0.025585920791847405,0.025585920791847405
2014-06-27,NWH,naive,quintile,IS,0.862876254180602,0.13756598012306598,-0.13756598012306598
2014-06-27,NXT,naive,quintile,IS,0.9498327759197325,-0.05172438611811647,0.05172438611811647
2014-06-27,PDN,naive,quintile,IS,0.979933110367893,0.2459015193195786,-0.2459015193195786
2014-06-27,QAN,naive,quintile,IS,0.8394648829431438,-0.01872659022982537,0.01872659022982537
2014-06-27,RFG,naive,quintile,IS,0.8729096989966555,0.008771942877908057,-0.008771942877908057
2014-06-27,RRL,naive,quintile,IS,0.9264214046822743,0.1067068442827448,-0.1067068442827448
2014-06-27,SGM,naive,quintile,IS,0.9130434782608695,0.1438775413346134,-0.1438775413346134
2014-06-27,SPL,naive,quintile,IS,0.8795986622073578,0.4736841830080123,-0.4736841830080123
2014-06-27,TWE,naive,quintile,IS,0.8561872909698997,0.0,-0.0
2014-06-27,WHC,naive,quintile,IS,0.9431438127090301,0.17361089965115317,-0.17361089965115317
2014-07-25,ACR,naive,quintile,IS,0.9966101694915255,0.2894737593645158,-0.2894737593645158
2014-07-25,ALQ,naive,quintile,IS,0.9542372881355933,-0.040302498483207994,0.040302498483207994
2014-07-25,BRU,naive,quintile,IS,0.9152542372881356,0.0,-0.0
2014-07-25,COH,naive,quintile,IS,1.0,0.09699134220413796,-0.09699134220413796
2014-07-25,DOW,naive,quintile,IS,0.8508474576271187,0.07335655636261595,-0.07335655636261595
2014-07-25,ELD,naive,quintile,IS,0.8406779661016949,-0.1555557470293576,0.1555557470293576
2014-07-25,EVN,naive,quintile,IS,0.8271186440677966,0.01298743060579266,-0.01298743060579266
2014-07-25,FLT,naive,quintile,IS,0.9050847457627119,-0.006623831061558505,0.006623831061558505
2014-07-25,FMG,naive,quintile,IS,0.9457627118644067,-0.03493443559380893,0.03493443559380893
2014-07-25,GNC,naive,quintile,IS,0.8796610169491526,0.0011313192440123299,-0.0011313192440123299
2014-07-25,GWA,naive,quintile,IS,0.8949152542372881,0.12867675630742448,-0.12867675630742448
2014-07-25,HVN,naive,quintile,IS,0.8847457627118644,0.05519468023005114,-0.05519468023005114
2014-07-25,HZN,naive,quintile,IS,0.8627118644067797,-0.08000004689898077,0.08000004689898077
2014-07-25,IFL,naive,quintile,IS,0.8796610169491526,0.04190955934670493,-0.04190955934670493
2014-07-25,ILU,naive,quintile,IS,0.9627118644067797,0.009091059997940354,-0.009091059997940354
2014-07-25,JBH,naive,quintile,IS,0.9898305084745763,-0.10581820591421598,0.10581820591421598
2014-07-25,KAR,naive,quintile,IS,0.9186440677966101,0.04857148748692208,-0.04857148748692208
